date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:16:24	7517/7517	---M--	200	added ('OK')	text/html	date:Fri,%2030%20Jul%202004%2004:41:06%20GMT	http://www.southern-comfort-carriage.com/horses.htm	./sccs/www.southern-comfort-carriage.com/horses.html	(from http://www.southern-comfort-carriage.com/)
10:16:25	2776/2776	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Jun%202004%2000:18:02%20GMT	http://www.southern-comfort-carriage.com/images/nav/contact.jpg	./sccs/www.southern-comfort-carriage.com/images/nav/contact.jpg	(from http://www.southern-comfort-carriage.com/)
10:16:26	9137/9137	---M--	200	added ('OK')	text/html	date:Sat,%2018%20Apr%202009%2016:03:46%20GMT	http://www.southern-comfort-carriage.com/contact.htm	./sccs/www.southern-comfort-carriage.com/contact.html	(from http://www.southern-comfort-carriage.com/)
10:16:27	2590/2590	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Jun%202004%2000:18:25%20GMT	http://www.southern-comfort-carriage.com/images/nav/photos.jpg	./sccs/www.southern-comfort-carriage.com/images/nav/photos.jpg	(from http://www.southern-comfort-carriage.com/)
10:16:28	6050/6050	---M--	200	added ('OK')	text/html	date:Fri,%2030%20Jul%202004%2004:41:09%20GMT	http://www.southern-comfort-carriage.com/photos.htm	./sccs/www.southern-comfort-carriage.com/photos.html	(from http://www.southern-comfort-carriage.com/)
10:16:29	2903/2903	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Jun%202004%2000:18:20%20GMT	http://www.southern-comfort-carriage.com/images/nav/navbutt.jpg	./sccs/www.southern-comfort-carriage.com/images/nav/navbutt.jpg	(from http://www.southern-comfort-carriage.com/)
10:16:30	1882/1882	---M--	200	added ('OK')	image/gif	date:Tue,%2022%20Jun%202004%2000:17:52%20GMT	http://www.southern-comfort-carriage.com/images/headings/welcome.gif	./sccs/www.southern-comfort-carriage.com/images/headings/welcome.gif	(from http://www.southern-comfort-carriage.com/)
10:16:31	2776/2776	---M--	200	added ('OK')	image/gif	date:Tue,%2022%20Jun%202004%2000:18:41%20GMT	http://www.southern-comfort-carriage.com/images/wood.gif	./sccs/www.southern-comfort-carriage.com/images/wood.gif	(from http://www.southern-comfort-carriage.com/)
10:16:32	533/533	---M--	401	error ('Authorization%20Required')	text/html	date:Tue,%2003%20May%202022%2014:16:32%20GMT	http://www.southern-comfort-carriage.com/admin/index.html	./sccs/www.southern-comfort-carriage.com/admin/index.1d.delayed	(from http://www.southern-comfort-carriage.com/)
10:16:33	7305/7305	---M--	200	added ('OK')	text/html	date:Fri,%2030%20Jul%202004%2004:41:03%20GMT	http://www.southern-comfort-carriage.com/credits.htm	./sccs/www.southern-comfort-carriage.com/credits.html	(from http://www.southern-comfort-carriage.com/)
10:16:34	13120/13120	---M--	200	added ('OK')	image/gif	date:Tue,%2022%20Jun%202004%2000:17:56%20GMT	http://www.southern-comfort-carriage.com/images/logo.gif	./sccs/www.southern-comfort-carriage.com/images/logo.gif	(from http://www.southern-comfort-carriage.com/)
10:16:35	1885/1885	---M--	200	added ('OK')	image/gif	date:Tue,%2022%20Jun%202004%2000:17:39%20GMT	http://www.southern-comfort-carriage.com/images/headings/about.gif	./sccs/www.southern-comfort-carriage.com/images/headings/about.gif	(from http://www.southern-comfort-carriage.com/about.htm)
10:16:36	49/49	---M--	200	added ('OK')	image/gif	date:Tue,%2022%20Jun%202004%2000:18:39%20GMT	http://www.southern-comfort-carriage.com/images/spacer.gif	./sccs/www.southern-comfort-carriage.com/images/spacer.gif	(from http://www.southern-comfort-carriage.com/about.htm)
10:16:37	2633/2633	---M--	200	added ('OK')	image/gif	date:Tue,%2022%20Jun%202004%2000:17:49%20GMT	http://www.southern-comfort-carriage.com/images/headings/rates.gif	./sccs/www.southern-comfort-carriage.com/images/headings/rates.gif	(from http://www.southern-comfort-carriage.com/rates.htm)
